No,Driver Name,Driver Rating,Driver Number = Rating,Speed Rating,Short Rating,Super Rating,Road Rating,Quality Rating,Trouble Rating,Poles,Wins,Top 5,Top 10,Races,DNF,Speed Table,Short Table,Super Table,Road Table
#5,Mark Martin,B,#5-Mark Martin-B ,B,B,B,C,B,B,2,0,2,10,36,3,25 20 20 20 12 3,25 20 20 20 13 2,25 20 20 20 14 1,30 20 20 20 8 2
#6,David Ragan,C,#6-David Ragan-C ,C,B,C,D,B,C,2,1,4,8,36,5,30 20 20 20 8 2,25 20 20 20 13 2,20 20 20 20 19 1,20 20 20 20 19 1
#20,Joey Logano,B,#20-Joey Logano-B,C,B,A,A,B,B,2,0,4,6,36,3,30 20 20 20 8 2,25 20 20 20 13 2,20 20 20 20 19 1,20 20 20 20 19 1
#83,Brian Vickers,C,#83-Brian Vickers-C,B,C,C,C,C,A,0,0,3,7,36,2,25 20 20 20 13 2,30 20 20 20 8 2,30 20 20 20 8 2,30 20 20 20 8 2
#78,Regan Smith,C,#78-Regan Smith-C,C,C,C,B,A,C,0,1,2,5,36,4,30 20 20 20 7 3,30 20 20 20 8 2,30 20 20 20 7 3,25 20 20 20 14 1
#1,amie McMurray,C,#1-Jamie McMurray-C,C,B,D,B,B,C,1,0,2,4,36,5,30 20 20 20 6 4,25 20 20 20 13 2,35 20 20 20 3 2,25 20 20 20 14 1
#00,David Reutimann,C,#00-David Reutimann-C,C,D,C,C,C,A,1,0,1,3,36,2,30 20 20 20 8 2,35 20 20 20 3 2,30 20 20 20 8 2,30 20 20 20 7 3
#47,Bobby Labonte,C,#47-Bobby Labonte-C ,C,C,D,D,C,C,0,0,1,2,36,4,30 20 20 20 8 2,30 20 20 20 8 2,35 20 20 20 2 3,35 20 20 20 3 2
#34,David Gilliland,D,#34-David Gilliland-D ,D,D,A,C,D,D,0,0,1,2,36,6,35 20 20 20 1 4,35 20 20 20 3 2,20 20 20 20 19 1,30 20 20 20 7 3
#13,Casey Mears,D,#13-Casey Mears-D ,D,C,D,C,D,D,0,0,0,0,35,8,35 20 20 20 1 4,30 20 20 20 8 2,35 20 20 20 1 4,35 20 20 20 3 2
#36,Dave Blaney,D,#36-Dave Blaney-D,D,C,D,D,E,D,0,0,1,1,35,8,35 20 20 20 1 4,30 20 20 20 8 2,35 20 20 20 1 4,35 20 20 20 3 2
#71,Andy Lally,D,#71-Andy Lally-D,D,D,E,D,E,C,0,0,0,0,30,4,35 20 20 20 0 5,35 20 20 20 3 2,40 20 20 17 0 3,35 20 20 20 2 3
#7,Robby Gordon,D,#7-Robby Gordon-D,D,E,E,C,E,E,0,0,0,0,25,14,35 20 20 20 0 5,40 20 20 15 0 5,40 20 20 17 0 3,30 20 20 20 8 2
#38,J.J. Yeley,D,#38-J.J. Yeley-D,D,E,E,E,D,E,0,0,0,0,31,24,35 20 20 20 0 5,40 20 20 15 0 5,40 20 20 15 0 5,40 20 20 15 0 5
#66,Michael McDowell,E,#66-Michael McDowell-E,E,E,E,E,D,E,0,0,0,0,32,29,40 20 20 15 0 5 ,40 20 20 15 0 5 ,40 20 20 15 0 5 ,40 20 20 17 0 3 
#37,Tony Raines,E,#37-Tony Raines-E ,D,D,-,-,E,E,0,0,0,0,12,5,35 20 20 20 0 5,35 20 20 20 3 2,0 0 0 0 0 0,0 0 0 0 0 0
#32,Ken Schrader,E,#32-Ken Schrader-E ,D,C,-,-,E,A,0,0,0,0,7,0,35 20 20 20 4 1,30 20 20 20 8 2,0 0 0 0 0 0,0 0 0 0 0 0
#23,Terry Labonte,E,#23-Terry Labonte-E ,E,D,E,D,E,E,0,0,0,0,8,3,35 20 20 20 3 2,35 20 20 20 2 3,30 20 20 20 8 2,0 0 0 0 0 0
#51,Bill Elliott,E,#51-Bill Elliott-E,D,D,C,-,D,A,0,0,0,0,5,0,35 20 20 20 3 2,35 20 20 20 2 3,30 20 20 20 8 2,0 0 0 0 0 0
#30,David Stremme,E,#30-David Stremme-E,E,E,-,-,D,E,0,0,0,0,18,16,40 20 20 15 0 5,40 20 20 15 0 5,0 0 0 0 0 0,0 0 0 0 0 0
#15,Michael Waltrip,E,#15-Michael Waltrip-E,-,-,E,-,A,D,0,0,0,1,3,1,0 0 0 0 0 0,0 0 0 0 0 0,40 20 20 16 0 4,0 0 0 0 0 0
#32,Boris Said,E,#32-Boris Said-E,-,-,-,C,C,A,0,0,0,0,2,0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,30 20 20 20 8 2
#35,Geoffrey Bodine,E,#35-Geoffrey Bodine-E,D,-,E,-,E,E,0,0,0,0,4,3,35 20 20 20 0 5 ,0 0 0 0 0 0 ,40 20 20 15 0 5 ,0 0 0 0 0 0 
#50,T.J. Bell,E,#50-T.J. Bell-E ,E,-,-,E,E,E,0,0,0,0,5,4,40 20 20 15 0 5,0 0 0 0 0 0,0 0 0 0 0 0,40 20 20 15 0 5
#35,Stephen Leicht,E,#35-Stephen Leicht-E ,-,C,-,-,E,A,0,0,0,0,1,0,0 0 0 0 0 0,30 20 20 20 8 2,0 0 0 0 0 0,0 0 0 0 0 0
#46,Andy Pilgrim,E,#46-Andy Pilgrim-E ,-,-,-,C,E,A,0,0,0,0,1,0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,30 20 20 20 8 2
#46,Chris Cook,E,#46-Chris Cook-E,-,-,-,C,E,A,0,0,0,0,1,0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,30 20 20 20 8 2
#7,Brian Simo,E,#7-Brian Simo-E,-,-,-,D,E,A,0,0,0,0,1,0,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0,35 20 20 20 2 3
#92,Brian Keselowski,E,#92-Brian Keselowski-E,-,-,E,-,A,E,0,0,0,0,1,1,0 0 0 0 0 0,0 0 0 0 0 0,40 20 20 15 0 5,0 0 0 0 0 0
#51,Erik Darnell,E,#51-Erik Darnell-E,E,-,-,-,E,E,0,0,0,0,2,2,40 20 20 15 0 5,0 0 0 0 0 0,0 0 0 0 0 0,0 0 0 0 0 0
#35,Steve Park,E,#35-Steve Park-E,-,-,E,-,D,E,0,0,0,0,1,1,0 0 0 0 0 0 ,0 0 0 0 0 0 ,40 20 20 15 0 5 ,0 0 0 0 0 0 
#21,Trevor Bayne,E,#21-Trevor Bayne-E ,C,D,D,-,C,C,0,1,1,1,17,3,30 20 20 20 7 3,35 20 20 20 0 5,35 20 20 20 2 3,0 0 0 0 0 0
#51,Landon Cassill,E,#51-Landon Cassill-E ,D,E,E,-,D,C,0,0,0,0,32,6,35 20 20 20 0 5,40 20 20 15 0 5,40 20 20 17 0 3,0 0 0 0 0 0
#38,Travis Kvapil,E,#38-Travis Kvapil-E ,D,D,E,-,D,D,0,0,0,0,29,8,40 20 20 15 0 5,35 20 20 20 0 5,0 0 0 0 0 0,0 0 0 0 0 0
#32,Mike Bliss,E,#32-Mike Bliss-E,E,D,-,-,E,B,0,0,0,0,18,2,40 20 20 15 0 5,35 20 20 20 0 5,0 0 0 0 0 0,0 0 0 0 0 0
#60,Mike Skinner,E,#60-Mike Skinner-E,E,E,E,E,E,E,0,0,0,0,21,18,40 20 20 15 0 5,40 20 20 15 0 5,40 20 20 15 0 5,40 20 20 15 0 5
#87,Joe Nemechek,E,#87-Joe Nemechek-E,E,E,E,E,D,E,0,0,0,0,36,35,40 20 20 15 0 5,40 20 20 15 0 5,40 20 20 15 0 5,40 20 20 15 0 5
